pasal,deskripsi
"Pasal 1","Setiap orang berhak atas perlindungan hukum dan rasa aman."
"Pasal 2","Setiap warga negara Indonesia memiliki kedudukan yang sama di hadapan hukum."
"Pasal 3","Setiap orang berhak untuk mendapatkan keadilan dalam proses hukum."
"Pasal 4","Hak asasi manusia dijamin oleh negara dan dilindungi oleh hukum."
"Pasal 5","Hak hidup adalah hak yang tidak dapat dicabut oleh negara."
"Pasal 6","Setiap orang berhak atas kebebasan beragama dan beribadah sesuai agama dan kepercayaannya."
"Pasal 7","Setiap warga negara berhak untuk bebas dari penyiksaan atau perlakuan yang merendahkan martabat manusia."
"Pasal 8","Setiap orang berhak atas kebebasan berbicara dan berekspresi."
"Pasal 9","Setiap orang berhak untuk mengajukan permohonan untuk memperoleh pekerjaan dan penghidupan yang layak."
"Pasal 10","Setiap orang berhak untuk bebas dari diskriminasi berdasarkan suku, agama, ras, dan golongan."
"Pasal 11","Penyalahgunaan wewenang oleh pejabat negara akan dikenakan sanksi sesuai hukum yang berlaku."
"Pasal 12","Setiap orang yang melakukan tindakan pidana akan dikenakan sanksi hukum sesuai dengan peraturan perundang-undangan."
"Pasal 13","Negara wajib menyediakan pendidikan dan kesehatan yang layak bagi seluruh rakyat."
"Pasal 14","Setiap orang berhak untuk mendapatkan perlindungan atas harta benda dan hak miliknya."
"Pasal 15","Setiap orang yang ditangkap harus segera diberitahukan alasan penangkapannya."
"Pasal 16","Setiap orang berhak untuk mengajukan permohonan pengadilan untuk mendapatkan keadilan."
"Pasal 17","Setiap orang yang telah menjalani masa hukumannya berhak untuk mendapatkan rehabilitasi dan reintegrasi sosial."
"Pasal 18","Tindakan hukum tidak boleh dilakukan secara sewenang-wenang oleh aparat negara."
"Pasal 19","Negara harus memberikan jaminan atas hak anak-anak untuk tumbuh dan berkembang dengan baik."
"Pasal 20","Setiap orang berhak untuk mendapatkan perlindungan hukum jika merasa dirugikan dalam hak-haknya."
"Pasal 21","Setiap orang berhak untuk bebas dari penangkapan sewenang-wenang oleh pihak berwajib."
"Pasal 22","Setiap orang berhak untuk mendapatkan bantuan hukum dari negara bagi yang tidak mampu."
"Pasal 23","Setiap orang berhak atas kebebasan untuk memilih pekerjaan yang sesuai dengan kemampuannya."
"Pasal 24","Setiap warga negara berhak untuk memilih dan dipilih dalam pemilu."
"Pasal 25","Setiap orang berhak untuk bebas dari penyadapan secara sembarangan oleh pihak yang tidak berwenang."